,minute,open,high,low,close
0,07/28/2022 12:11,23152.38000000,23153.40000000,23145.87000000,23150.00000000
1,07/28/2022 12:12,23148.15000000,23158.81000000,23147.76000000,23151.14000000
2,07/28/2022 12:13,23152.95000000,23169.48000000,23150.48000000,23157.04000000
3,07/28/2022 12:14,23157.04000000,23167.65000000,23148.42000000,23164.06000000
4,07/28/2022 12:15,23165.29000000,23173.18000000,23148.00000000,23170.74000000
5,07/28/2022 12:16,23170.71000000,23175.84000000,23164.05000000,23169.65000000
6,07/28/2022 12:17,23169.65000000,23181.87000000,23143.02000000,23173.45000000
7,07/28/2022 12:18,23173.45000000,23200.14000000,23172.67000000,23195.63000000
8,07/28/2022 12:19,23197.84000000,23215.00000000,23191.85000000,23200.00000000
9,07/28/2022 12:20,23198.59000000,23231.13000000,23194.38000000,23217.37000000
10,07/28/2022 12:21,23215.87000000,23218.77000000,23196.58000000,23198.27000000
11,07/28/2022 12:22,23200.13000000,23206.17000000,23171.60000000,23176.64000000
12,07/28/2022 12:23,23176.64000000,23194.97000000,23172.45000000,23181.80000000
13,07/28/2022 12:24,23181.80000000,23186.35000000,23173.00000000,23179.01000000
14,07/28/2022 12:25,23180.90000000,23183.06000000,23161.13000000,23163.72000000
15,07/28/2022 12:26,23163.72000000,23167.91000000,23087.36000000,23098.37000000
16,07/28/2022 12:27,23096.41000000,23106.88000000,23047.79000000,23055.91000000
17,07/28/2022 12:28,23054.95000000,23090.00000000,23053.33000000,23076.75000000
18,07/28/2022 12:29,23074.28000000,23126.00000000,23070.00000000,23124.86000000
19,07/28/2022 12:30,23122.37000000,23125.77000000,23104.12000000,23108.59000000
20,07/28/2022 12:31,23108.59000000,23113.76000000,23090.00000000,23099.12000000
21,07/28/2022 12:32,23099.07000000,23102.24000000,23075.00000000,23078.91000000
22,07/28/2022 12:33,23078.91000000,23082.19000000,23040.00000000,23062.86000000
23,07/28/2022 12:34,23062.86000000,23064.22000000,23000.00000000,23016.79000000
24,07/28/2022 12:35,23016.79000000,23042.96000000,23010.29000000,23017.00000000
25,07/28/2022 12:36,23017.00000000,23040.89000000,23016.81000000,23038.14000000
26,07/28/2022 12:37,23038.14000000,23040.50000000,23008.54000000,23014.85000000
27,07/28/2022 12:38,23012.75000000,23042.88000000,22972.53000000,22994.70000000
28,07/28/2022 12:39,22995.71000000,23027.05000000,22990.50000000,23013.65000000
29,07/28/2022 12:40,23013.65000000,23036.96000000,23003.66000000,23011.54000000
30,07/28/2022 12:41,23014.86000000,23047.00000000,23013.86000000,23034.93000000
31,07/28/2022 12:42,23034.93000000,23037.45000000,23028.49000000,23031.26000000
32,07/28/2022 12:43,23031.26000000,23048.79000000,23021.95000000,23038.64000000
33,07/28/2022 12:44,23038.64000000,23056.70000000,23031.99000000,23039.38000000
34,07/28/2022 12:45,23038.03000000,23043.77000000,23019.75000000,23026.84000000
35,07/28/2022 12:46,23025.68000000,23028.81000000,22976.86000000,22980.78000000
36,07/28/2022 12:47,22980.78000000,23000.00000000,22954.60000000,22990.95000000
37,07/28/2022 12:48,22990.95000000,23000.83000000,22982.18000000,22985.56000000
38,07/28/2022 12:49,22985.56000000,23013.93000000,22985.56000000,23013.93000000
39,07/28/2022 12:50,23008.57000000,23016.73000000,22993.01000000,22998.00000000
40,07/28/2022 12:51,22998.82000000,23008.14000000,22981.38000000,22992.16000000
41,07/28/2022 12:52,22992.16000000,23010.60000000,22982.84000000,22985.19000000
42,07/28/2022 12:53,22983.68000000,23001.57000000,22979.19000000,22985.59000000
43,07/28/2022 12:54,22983.41000000,22996.28000000,22978.17000000,22982.19000000
44,07/28/2022 12:55,22982.19000000,22988.64000000,22980.00000000,22981.19000000
45,07/28/2022 12:56,22983.03000000,22985.50000000,22948.05000000,22961.98000000
46,07/28/2022 12:57,22963.79000000,22973.04000000,22956.05000000,22966.74000000
47,07/28/2022 12:58,22966.74000000,22980.79000000,22957.13000000,22959.45000000
48,07/28/2022 12:59,22960.49000000,22977.00000000,22952.52000000,22955.45000000
49,07/28/2022 13:00,22955.45000000,22960.30000000,22920.01000000,22934.77000000
50,07/28/2022 13:01,22934.75000000,22940.23000000,22914.27000000,22928.98000000
